viewing_id,property_id,lead_id,agent_id,scheduled_at,visit_type,status,feedback_summary,interest_level,objections,follow_up_required
V014,P007,L038,AGT-08,2024-01-28 11:00:00,presencial,realizada,Renata llegó con su socio de negocios. Recorrido de una hora. Mucho silencio evaluativo. Al salir preguntó cuántas personas habían visitado el mes. Señal de interés competitivo claro.,muy alto,El garage cubre solo dos autos y ella tiene tres. Cuarto de servicio sin entrada independiente desde la calle.,sí
V015,P027,L027,AGT-08,2024-01-26 10:00:00,presencial,realizada,Héctor y su esposa visitaron juntos. Ella evaluó cada recámara con mucho detalle. Preguntó por orientación de la principal respecto al sol de la tarde. Él preguntó por vecinos inmediatos.,positivo,Recámara principal recibe sol de poniente directo en verano. Solicitan copia de escrituras para revisión de abogado.,sí
V016,P022,L021,AGT-01,2024-01-24 12:00:00,presencial,realizada,Patricio visitó en horario de trabajo. Recorrido eficiente de 30 minutos. Aprobó el nivel de amueblado y la oficina en planta alta. Solo pidió verificar velocidad de internet antes de firmar.,alto,Necesita contrato a nombre de persona moral. Dueño acepta pero requiere papelería de empresa.,sí
V017,P006,L022,AGT-06,2024-01-24 17:00:00,videollamada,realizada,Luciana vio el departamento por videollamada desde CDMX antes de mudarse. AGT-06 recorrió mostrando cada espacio. Ella tomó capturas de pantalla de la vista desde el piso 8.,alto,Contrato mínimo de 12 meses cuando ella prefería 6. Aceptó las condiciones.,sí
V018,P013,L006,AGT-13,2024-05-08 10:00:00,presencial,programada,Visita confirmada para mayo durante el viaje de Thomas a Mérida. Tour de hacienda completo planificado incluyendo recorrido del cenote y máquina henequenera.,pendiente,,sí
V019,P013,L019,AGT-13,2024-06-12 10:00:00,presencial,programada,Visita de Isabelle Fontaine confirmada para junio. Tour con enfoque en potencial de hospedaje boutique. Se planea tener al Lic. Emilio Dzul presente para resolver dudas legales en sitio.,pendiente,,sí
V020,P015,L031,AGT-02,2024-01-30 11:00:00,presencial,programada,Segunda visita de Armando a P015 programada. Quiere ver la sala de cine con proyector encendido y revisar el sistema eléctrico con más detalle.,pendiente,,sí
V021,P002,L037,AGT-02,2024-01-31 10:00:00,presencial,programada,Primera visita de Nicolás Barbachano a P002. Confirmada después del análisis de mercado. Viene con criterio de inversionista.,pendiente,,sí
V022,P004,L026,AGT-03,2024-02-05 11:00:00,presencial,programada,Primera visita de Katarina Holm a P004. Contacto confirmado por email. Vendrá acompañada de una amiga que vive en Mérida para segunda opinión.,pendiente,,sí
V023,P007,L015,AGT-08,2024-01-25 10:00:00,presencial,cancelada,Rossana canceló 2 horas antes por compromisos laborales. Tono de disculpa genuino en el mensaje. Reprogramó para la siguiente semana.,sin calificación,Sin datos de visita.,sí
V024,P037,L033,AGT-07,2024-01-25 10:00:00,presencial,cancelada,Diego Peniche canceló el día anterior. Solicitó primero tener respuesta del arquitecto diseñador sobre el remate de concreto antes de volver. Proceso deliberado no desinterés.,sin calificación,Pendiente respuesta técnica del arquitecto diseñador.,sí
V025,P010,L009,AGT-01,2024-01-20 10:00:00,presencial,cancelada,Lourdes llegó al inmueble pero la propiedad ya estaba apartada. El proceso no se comunicó a tiempo internamente. Error de coordinación entre AGT-01 y AGT-02. Lourdes fue comprensiva pero es un error que no puede repetirse.,sin calificación,Propiedad ya apartada. Error interno de comunicación entre agentes.,sí
V026,P009,L039,AGT-01,2024-01-30 10:00:00,presencial,cancelada,Lorenzo canceló por viaje de trabajo a Monterrey. Reprogramado para el tour ejecutivo del 3 de febrero combinando P037 y P003 en su lugar. Decisión estratégica del agente.,sin calificación,Sin datos de visita.,sí
V027,P015,L009,AGT-01,2024-01-22 11:00:00,presencial,realizada,Lourdes visitó P015 como alternativa mientras P010 sigue apartada. Buena recepción general. La sala de cine fue el punto más apreciado. El jardín le pareció más pequeño de lo esperado.,medio,Jardín más pequeño que el de propiedades en Country Club. Sin área de palapa cubierta.,sí
V028,P038,L040,AGT-04,2024-02-06 10:00:00,videollamada,programada,Mónica Pech en Valladolid. Se programó videollamada con el propietario presente para resolver condiciones de contrato y mostrar el espacio en vivo.,pendiente,,sí
V029,P009,L014,AGT-01,2024-02-08 10:00:00,presencial,programada,James y Patricia Whitmore tienen visita programada presencial para cuando vengan a Mérida. Tour incluye P009 y P019. Se reservará transporte desde su hotel.,pendiente,,sí
V030,P011,L020,AGT-04,2024-01-31 10:00:00,presencial,realizada,Gerardo visitó con su esposa e hija. La casa bioclimática generó curiosidad genuina. Preguntaron cómo funciona el sistema solar y la cisterna pluvial. Más exploratoria que decisiva.,medio,Sin alberca. Zona poniente aún percibida como lejos del trabajo de Gerardo en el norte.,sí
V031,P008,L020,AGT-04,2024-01-31 12:00:00,presencial,realizada,Segunda parada del mismo día. Terreno en Dzityá. Gerardo caminó el perímetro completo. Preguntó sobre el tiempo estimado para un desarrollo de cinco casas. Sin urgencia pero con imaginación.,bajo,Zona sin infraestructura completamente lista. Sin árbol o sombra en el terreno. Proceso largo para construir.,no
V032,P026,L028,AGT-12,2024-02-01 11:00:00,presencial,programada,Alejandra Mena de Mérida viene a ver P026 como opción de renta a largo plazo en Progreso. El propietario está abierto a contrato mensual de mínimo 6 meses.,pendiente,,sí
V033,P006,L021,AGT-01,2024-01-25 12:00:00,presencial,cancelada,Patricio necesitaba ver P006 como segunda opción pero P022 avanzó más rápido. Canceló esta visita por innecesaria. Señal positiva de decisión en P022.,sin calificación,Visita cancelada por avance en P022. No hay objeciones a la propiedad.,no
V034,P019,L014,AGT-01,2024-02-08 12:00:00,presencial,programada,James y Patricia verán P019 el mismo día que P009. Tour privado con transporte. Conocen la ficha y el video tour. Vienen a confirmar la decisión.,pendiente,,sí
V035,P037,L039,AGT-01,2024-02-10 10:00:00,presencial,programada,Segunda visita de Lorenzo a P037 para revisar el sistema domótico con el integrador presente. Visita técnica antes de propuesta formal.,pendiente,,sí
